300.0   0.02854   0.00277
305.0   0.03094   0.00312
310.0   0.03335   0.00146
315.0   0.03333   0.00014
320.0   0.03353   0.00022
325.0   0.03496   0.00124
330.0   0.03637   0.00309
335.0   0.03766   0.00126
340.0   0.03987   0.00136
345.0   0.04255   0.00221
350.0   0.04484   0.00096
355.0   0.04851   0.00118
360.0   0.05323   0.00130
365.0   0.05843   0.00147
370.0   0.06432   0.00120
375.0   0.07000   0.00110
380.0   0.07593   0.00140
385.0   0.08180   0.00174
390.0   0.08722   0.00047
395.0   0.09212   0.00115
400.0   0.09777   0.00037
405.0   0.10196   0.00283
410.0   0.10607   0.00148
415.0   0.10959   0.00144
420.0   0.11332   0.00149
425.0   0.11614   0.00139
430.0   0.11847   0.00146
435.0   0.12092   0.00159
440.0   0.12315   0.00154
445.0   0.12575   0.00212
450.0   0.12774   0.00207
455.0   0.12959   0.00213
460.0   0.13190   0.00210
465.0   0.13399   0.00230
470.0   0.13559   0.00218
475.0   0.13771   0.00215
480.0   0.13937   0.00225
485.0   0.14117   0.00203
490.0   0.14385   0.00226
495.0   0.14731   0.00221
500.0   0.14805   0.00204
505.0   0.14588   0.00193
510.0   0.14743   0.00183
515.0   0.15441   0.00213
520.0   0.15913   0.00192
525.0   0.16225   0.00223
530.0   0.16479   0.00201
535.0   0.16672   0.00203
540.0   0.16863   0.00205
545.0   0.16965   0.00210
550.0   0.17179   0.00226
555.0   0.17447   0.00235
560.0   0.17796   0.00249
565.0   0.18122   0.00229
570.0   0.18419   0.00232
575.0   0.18661   0.00227
580.0   0.18911   0.00236
585.0   0.19117   0.00254
590.0   0.19354   0.00256
595.0   0.19571   0.00247
600.0   0.19795   0.00212
605.0   0.20025   0.00219
610.0   0.20236   0.00244
615.0   0.20446   0.00181
620.0   0.20645   0.00248
625.0   0.20873   0.00238
630.0   0.21074   0.00250
635.0   0.21301   0.00216
640.0   0.21490   0.00240
645.0   0.21752   0.00239
650.0   0.21954   0.00251
655.0   0.22202   0.00237
660.0   0.22377   0.00229
665.0   0.22623   0.00253
670.0   0.22869   0.00221
675.0   0.23072   0.00203
680.0   0.23319   0.00247
685.0   0.23543   0.00258
690.0   0.23776   0.00258
695.0   0.24000   0.00209
700.0   0.24192   0.00286
705.0   0.24413   0.00274
710.0   0.24651   0.00246
715.0   0.24795   0.00227
720.0   0.24975   0.00249
725.0   0.25037   0.00216
